...1,Date,Minimum temperature (Deg C),Maximum Temperature (Deg C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (Deg C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (Deg C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
270,2018-11-23,11,14.5,6,4.6,0,WSW,48,03:28:00,11.2,86,7,W,13,1005.1,12.9,91,7,W,13,1005.3
160,2018-07-9,10.1,13.8,1.2,2.8,2.9,SW,31,12:43:00,10.5,77,6,SSW,6,1027.5,13.1,65,7,SW,11,1027.6
49,2019-03-1,22.6,38.1,0,20,8.5,NE,39,17:29:00,28.5,35,7,N,9,1020.2,36.9,18,2,N,13,1017.9
129,2019-06-3,8.2,12,15.4,2.4,0,S,35,20:21:00,9.3,97,8,SSE,7,1020,10.2,91,7,S,11,1021.6
137,2019-06-14,10,17.3,2.2,2.4,5.4,NW,39,14:52:00,13,72,7,NNW,13,1018.3,16.5,56,7,NNW,22,1015.8
269,2018-11-22,9.7,16.4,6.2,7.2,7,SSW,46,22:21:00,12.6,57,7,N,22,996.2,14,67,7,S,13,997.2
23,2019-01-31,17.2,21.5,6.6,12,11.2,S,48,16:45:00,18.6,61,1,SW,11,1012.5,20.8,51,6,SSW,17,1016.2
142,2019-06-19,6.6,11.9,0.8,1,3.1,SSW,24,13:40:00,7.6,78,5,W,7,1026.2,11.2,70,7,SSW,11,1025.9
256,2018-11-6,16.3,21.4,4.4,4.8,2.2,SSW,35,17:25:00,18.5,98,8,NNW,9,1001.9,20.3,73,4,SSW,6,1002.9
225,2018-09-30,6.8,16.5,0.2,3.4,6.7,SSW,22,15:44:00,11.7,73,7,SW,7,1031.7,15.6,47,1,SSW,9,1028.4
11,2019-01-16,19.8,26.7,0,6.8,5.3,SSW,41,13:35:00,21.9,76,4,SW,7,1011.2,22.1,75,7,SSW,20,1012.2
246,2018-10-23,13,18.8,0,10.6,5.3,SSW,41,15:55:00,14.8,81,7,SW,9,1013.3,18.4,55,5,SSE,15,1014.2
295,2018-12-26,13.3,23.8,0,8.2,13.6,SSW,28,14:35:00,18.3,63,1,NE,4,1016.4,21.5,65,0,SSW,13,1014.7
39,2019-02-18,18,23.6,0,9.4,6.1,SSW,37,15:32:00,20.2,64,6,WSW,11,1007.3,23.3,59,2,SSW,15,1005.2
235,2018-10-11,6.4,20.7,0,5.2,11.7,SSE,39,15:22:00,11.2,68,1,NA,Calm,1024.7,18.6,40,1,SW,11,1022.3
222,2018-09-27,9.2,24.2,0,8,10.9,N,48,08:27:00,16.9,46,4,N,20,1016,23.8,28,1,N,22,1011.3
141,2019-06-18,8,13.7,0,2.2,0.9,N,37,02:51:00,11,77,7,N,13,1017.3,10,76,7,WSW,15,1019.2
263,2018-11-15,13.7,18.1,0.2,2,11,SW,35,12:55:00,15,53,7,S,15,1023.5,16.5,55,7,S,19,1023.4
70,2019-03-29,14.6,28.5,0,13.4,2.9,N,56,15:33:00,21.5,35,7,N,20,1006.1,27.2,21,7,NW,13,1000.3
271,2018-11-24,11.1,16.9,7,2,1.7,SSW,35,03:50:00,12.7,84,8,W,9,1008.3,16.1,72,7,S,15,1007.9
176,2018-07-26,7.7,15.1,0,1.8,4.8,NNW,28,13:39:00,9.2,79,7,N,11,1018.9,13.8,63,7,N,17,1015.7
53,2019-03-7,9.7,22.1,2,5.4,11.6,SW,24,14:18:00,11.4,63,1,NE,9,1025.1,20.4,38,6,SSW,6,1021
38,2019-02-17,15,29,0,6,8.8,S,20,12:36:00,18.1,80,7,NNE,6,1012.8,27.8,30,7,S,13,1010.9
260,2018-11-11,9.3,19.6,0.2,4.8,12.8,SSW,31,15:25:00,16.5,50,1,ESE,7,1022,18.4,63,1,SSW,17,1020.5
174,2018-07-24,8.6,15.6,0.6,2.2,5.6,N,57,10:24:00,10.9,74,1,N,19,1008.6,15.5,60,4,NNW,28,1004.5
227,2018-10-2,11.4,25.8,0,5.2,4,N,39,15:07:00,14.7,54,7,NNE,9,1024.6,25.1,29,7,NNW,20,1017.9
109,2019-05-12,12.2,17.7,0,1.2,1.9,N,22,17:56:00,14.3,68,7,NNW,9,1028.3,17,56,7,W,7,1026.7
115,2019-05-19,8.9,21.8,0.2,3.2,8.4,N,33,11:32:00,11.9,76,7,N,9,1028.9,20.4,43,3,N,17,1025.2
197,2018-08-20,5.5,12.4,2,1.8,0.5,NW,30,13:11:00,8.9,67,7,WNW,9,1024.3,10.3,77,7,WNW,7,1020.1
267,2018-11-19,15.4,30.9,0,10.6,11,NNW,41,10:48:00,22.6,38,3,N,22,1017,29.7,25,3,NNE,11,1011.9
280,2018-12-4,13.4,20.5,0,5.6,7.9,W,28,23:34:00,15.4,71,7,SSW,7,1018,19.7,52,5,SSW,13,1019.6
231,2018-10-6,8.3,23.8,0,6.2,11.1,N,37,09:04:00,17.9,44,1,NNW,20,1023.9,23,36,1,SW,9,1020.6
17,2019-01-22,19,26.8,0,7.2,12.1,S,31,17:43:00,21,80,1,NE,7,1013.4,24.9,72,1,SSW,17,1010.8
289,2018-12-14,16.4,22.7,16.6,4.4,3.7,N,28,10:43:00,17.4,85,7,NW,7,1003.1,21.3,76,7,SSW,11,1003.6
232,2018-10-7,10.3,24.7,0,5,6.2,SW,24,12:52:00,14.4,65,1,NNE,9,1022.8,23.8,33,7,S,13,1019.9
275,2018-11-28,14.4,20.8,0,5.2,10.5,S,41,15:42:00,18.6,67,6,SSE,13,1008.7,19.2,64,7,S,19,1010.2
102,2019-05-5,11.3,16.3,2,2,3.1,SSW,28,14:40:00,13,84,7,W,6,1025.4,15.5,71,7,SSW,15,1024.3
